Abbreviation ;Model;isJSDM;featA;featB;featC;featD
BC1;BC;1;0;1;0;0
BC2;BC;1;0;1;1;0
BORAL1;BORAL;1;0;0;0;0
BORAL2;BORAL;1;0;0;1;0
BRT1;BRT;0;1;0;0;0
GAM1;GAM;0;1;0;0;0
GAM2;GAM;0;1;0;0;1
GJAM1;GJAM;1;0;1;1;0
GLM2;GLM;0;0;0;0;0
GLM3;GLM;0;0;0;0;1
GLM1;GLM;0;0;0;0;0
GNN1;GNN;0;1;1;0;0
HMSC1;HMSC;1;0;1;0;0
HMSC2;HMSC;1;0;1;1;0
HMSC3;HMSC;1;0;1;1;1
MARS1;MARS;0;1;0;0;0
MARS2;MARS;0;1;1;0;0
MISTN1;MISTN;1;1;0;1;0
MRTS1;MRTS;0;1;1;0;0
MVABUND1;MVABUND;0;0;0;0;0
RF1;RF;0;1;0;0;0
SAM1;SAM;1;0;1;0;0
GLM4;GLM;0;0;0;0;0
GLM5;GLM;0;0;0;0;1
SVM1;SVM;0;1;0;0;0
